Student_ID,Student_Name,Enrollment_Number,Grade_Level,Current_Semester,Academic_Year,Age,Section,Enrollment_Status,Admission_Date,Previous_Scores_Semester_Wise,Cumulative_GPA,Class_Participation_Score,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Data_Entry_Date
STU01036,Student_0037,2023-CS-01037,2,4,2023-2024,23,A,Active,2023-08-14,60|61,5.4,55,21,65,Medium,Low,Yes,7,91,Low,Yes,2,Medium,High,Public,Positive,3,No,High School,Far,Female,64,2025-12-03
STU01037,Student_0038,2020-CS-01038,4,7,2020-2021,22,B,Active,2020-08-26,48|60|63|69|65|65,5.699999999999999,87,8,99,Medium,Medium,No,9,54,Low,Yes,2,Low,Medium,Public,Neutral,5,No,Postgraduate,Near,Female,67,2025-12-03
STU01038,Student_0039,2020-CS-01039,4,7,2020-2021,25,B,Active,2020-07-16,45|60|56|57|57|59,5.300000000000001,84,12,72,Low,Medium,Yes,8,84,Medium,Yes,1,Low,Medium,Public,Positive,5,No,High School,Near,Female,63,2025-12-03
STU01039,Student_0040,2022-CS-01040,3,6,2022-2023,21,A,Active,2022-06-25,59|52|68|69,5.4,57,21,65,Low,Medium,Yes,6,98,Low,Yes,1,Medium,High,Public,Negative,4,No,High School,Near,Male,64,2025-12-03
STU01040,Student_0041,2022-CS-01041,3,6,2022-2023,23,A,Active,2022-07-10,57|56|52|58,5.699999999999999,55,24,68,High,Medium,No,8,56,Low,Yes,3,High,High,Public,Neutral,1,No,College,Near,Male,67,2025-12-03
STU01041,Student_0042,2022-CS-01042,3,5,2022-2023,23,C,Active,2022-06-21,60|60|63|53,5.5,67,21,84,Medium,Medium,Yes,6,52,Low,Yes,1,Medium,High,Public,Neutral,2,Yes,College,Far,Female,65,2025-12-03
STU01042,Student_0043,2021-CS-01043,4,7,2021-2022,23,D,Active,2021-07-07,50|60|55|51|59|58,5.4,61,19,63,Low,High,No,7,94,Medium,Yes,1,Medium,Medium,Private,Positive,3,No,High School,Moderate,Male,64,2025-12-03
STU01043,Student_0044,2023-CS-01044,2,4,2023-2024,20,A,Active,2023-08-11,67|68,6.0,92,18,94,Medium,High,Yes,7,82,Medium,Yes,3,Medium,Medium,Private,Negative,2,Yes,College,Near,Male,70,2025-12-03
STU01044,Student_0045,2023-CS-01045,2,4,2023-2024,20,D,Active,2023-07-20,66|59,5.8,88,11,98,Medium,Medium,Yes,9,82,Low,Yes,1,Medium,Medium,Private,Positive,3,No,Postgraduate,Far,Male,68,2025-12-03
STU01045,Student_0046,2023-CS-01046,2,3,2023-2024,21,C,Active,2023-07-17,58|68,5.5,69,16,70,Medium,Medium,Yes,8,98,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,65,2025-12-03
STU01046,Student_0047,2023-CS-01047,2,4,2023-2024,22,D,Active,2023-07-06,57|60,5.8,78,17,78,Medium,Medium,Yes,6,88,Medium,Yes,1,Medium,High,Private,Positive,3,No,College,Near,Female,68,2025-12-03
STU01047,Student_0048,2022-CS-01048,3,5,2022-2023,21,A,Active,2022-08-28,56|59|57|60,5.4,60,26,61,Medium,Low,Yes,6,70,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,64,2025-12-03
STU01048,Student_0049,2021-CS-01049,4,7,2021-2022,23,C,Active,2021-07-12,58|62|54|63|71|65,5.8,73,22,86,Low,Medium,Yes,7,72,Low,Yes,3,Low,High,Public,Positive,2,No,High School,Moderate,Male,68,2025-12-03
STU01049,Student_0050,2021-CS-01050,4,7,2021-2022,22,C,Active,2021-07-04,45|47|54|62|58|61,5.300000000000001,82,9,77,Medium,Medium,No,5,57,Medium,Yes,2,Medium,High,Public,Neutral,3,No,High School,Near,Male,63,2025-12-03
STU01050,Student_0051,2022-CS-01051,3,6,2022-2023,24,D,Active,2022-07-13,51|62|54|59,5.4,53,22,71,Low,Medium,Yes,7,65,Low,Yes,1,Medium,Low,Public,Positive,4,No,College,Moderate,Male,64,2025-12-03
STU01051,Student_0052,2021-CS-01052,4,7,2021-2022,24,C,Active,2021-08-28,55|43|56|52|60|60,5.4,72,18,68,High,Medium,No,7,72,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,College,Near,Male,64,2025-12-03
STU01052,Student_0053,2022-CS-01053,3,5,2022-2023,24,B,Active,2022-07-08,69|59|72|67,5.699999999999999,70,16,86,Low,Medium,Yes,8,63,Medium,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,67,2025-12-03
STU01053,Student_0054,2023-CS-01054,2,4,2023-2024,22,C,Active,2023-08-28,58|66,5.699999999999999,75,24,77,High,Low,No,8,96,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,67,2025-12-03
STU01054,Student_0055,2022-CS-01055,3,6,2022-2023,22,D,Active,2022-08-21,56|61|58|72,5.6000000000000005,60,26,67,Medium,High,Yes,7,51,Low,Yes,2,High,High,Private,Neutral,4,Yes,Postgraduate,Far,Female,66,2025-12-03
STU01055,Student_0056,2023-CS-01056,2,3,2023-2024,22,D,Active,2023-06-27,72|70,6.2,83,26,88,Medium,High,Yes,5,79,Medium,Yes,1,Low,High,Private,Positive,4,No,College,Moderate,Male,72,2025-12-03
STU01056,Student_0057,2023-CS-01057,2,4,2023-2024,22,A,Active,2023-06-20,69|63,5.5,59,15,83,Medium,High,No,5,89,Low,No,1,Medium,High,Public,Neutral,2,Yes,High School,Near,Female,65,2025-12-03
STU01057,Student_0058,2020-CS-01058,4,7,2020-2021,23,D,Active,2020-08-02,64|61|64|64|67|69,6.1,100,18,94,Medium,Medium,Yes,6,87,High,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,71,2025-12-03
STU01058,Student_0059,2022-CS-01059,3,5,2022-2023,23,A,Active,2022-06-09,54|57|60|65,5.6000000000000005,66,22,65,High,Low,No,8,82,Medium,Yes,2,Medium,High,Public,Positive,1,No,Postgraduate,Near,Female,66,2025-12-03
STU01059,Student_0060,2020-CS-01060,4,8,2020-2021,22,D,Active,2020-08-21,55|63|64|61|70|75,5.8,88,26,91,Medium,Low,Yes,8,71,Medium,Yes,0,Low,Medium,Private,Neutral,3,No,High School,Moderate,Male,68,2025-12-03
STU01060,Student_0061,2022-CS-01061,3,6,2022-2023,22,C,Active,2022-06-21,51|68|62|72,6.0,86,17,87,Medium,Medium,No,7,96,Medium,Yes,1,High,Medium,Public,Negative,5,No,Postgraduate,Near,Female,70,2025-12-03
STU01061,Student_0062,2022-CS-01062,3,6,2022-2023,22,C,Active,2022-07-05,60|51|48|64,5.2,56,19,65,Medium,Medium,Yes,10,66,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,62,2025-12-03
STU01062,Student_0063,2020-CS-01063,4,8,2020-2021,23,A,Active,2020-07-16,56|49|72|65|67|72,5.8,100,13,88,Low,High,Yes,9,88,High,Yes,2,Low,High,Private,Negative,4,No,Postgraduate,Far,Male,68,2025-12-03
STU01063,Student_0064,2020-CS-01064,4,7,2020-2021,25,C,Active,2020-08-28,52|57|52|57|64|56,5.699999999999999,94,13,78,Medium,High,Yes,9,96,High,Yes,2,Low,Medium,Public,Neutral,3,No,College,Moderate,Male,67,2025-12-03
STU01064,Student_0065,2022-CS-01065,3,5,2022-2023,24,D,Active,2022-07-02,59|60|67|71,6.1,99,25,98,Low,High,Yes,8,56,Medium,No,0,Medium,High,Private,Neutral,3,No,Postgraduate,Near,Male,71,2025-12-03
STU01065,Student_0066,2021-CS-01066,4,8,2021-2022,24,D,Active,2021-08-01,59|62|66|65|73|66,5.8,67,28,66,Medium,High,Yes,8,97,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,68,2025-12-03
STU01066,Student_0067,2023-CS-01067,2,3,2023-2024,21,A,Active,2023-08-02,64|70,5.8999999999999995,85,20,86,Medium,Medium,Yes,8,89,Medium,Yes,1,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,69,2025-12-03
STU01067,Student_0068,2020-CS-01068,4,7,2020-2021,24,D,Active,2020-08-10,56|69|67|67|66|65,6.0,90,26,75,Low,High,Yes,4,81,High,Yes,3,Medium,High,Private,Positive,2,No,High School,Moderate,Male,70,2025-12-03
STU01068,Student_0069,2023-CS-01069,2,3,2023-2024,20,C,Active,2023-06-20,68|61,5.8999999999999995,72,22,98,Medium,High,No,5,69,Low,No,1,Low,High,Public,Negative,4,No,High School,Moderate,Female,69,2025-12-03
STU01069,Student_0070,2021-CS-01070,4,7,2021-2022,23,D,Active,2021-06-14,60|54|58|54|64|60,5.5,80,16,73,Medium,Medium,No,7,95,Medium,Yes,1,Low,Medium,Public,Negative,4,No,College,Near,Male,65,2025-12-03
STU01070,Student_0071,2021-CS-01071,4,8,2021-2022,22,A,Active,2021-08-12,61|63|58|58|73|67,6.0,93,22,98,Medium,Low,Yes,7,52,Medium,No,3,Medium,Medium,Public,Positive,3,No,College,Near,Female,70,2025-12-03
STU01071,Student_0072,2021-CS-01072,4,8,2021-2022,24,D,Active,2021-07-08,60|63|56|67|67|65,6.1,99,29,96,Medium,Low,Yes,7,72,Medium,Yes,1,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,71,2025-12-03
STU01072,Student_0073,2020-CS-01073,4,8,2020-2021,25,A,Active,2020-07-14,47|58|62|59|53|57,5.5,74,20,71,Medium,Medium,Yes,7,88,Medium,Yes,1,Low,Low,Public,Neutral,4,No,College,Near,Female,65,2025-12-03
STU01073,Student_0074,2021-CS-01074,4,7,2021-2022,24,D,Active,2021-06-10,57|69|62|63|59|66,6.2,90,29,92,Low,Medium,No,4,91,Medium,Yes,2,Medium,Medium,Public,Negative,1,No,Postgraduate,Near,Female,72,2025-12-03
STU01074,Student_0075,2020-CS-01075,4,8,2020-2021,22,A,Active,2020-06-13,50|53|61|60|73|72,5.8999999999999995,100,4,100,High,High,Yes,8,60,High,Yes,0,Medium,High,Private,Positive,4,No,College,Moderate,Male,69,2025-12-03
STU01075,Student_0076,2021-CS-01076,4,8,2021-2022,23,D,Active,2021-07-23,50|51|64|68|51|64,5.6000000000000005,72,25,70,Medium,Medium,No,7,52,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,66,2025-12-03
STU01076,Student_0077,2023-CS-01077,2,3,2023-2024,22,C,Active,2023-08-27,62|69,5.8,73,21,77,Low,Medium,Yes,7,90,Medium,Yes,4,Medium,Medium,Private,Neutral,3,No,Postgraduate,Moderate,Male,68,2025-12-03
STU01077,Student_0078,2023-CS-01078,2,4,2023-2024,21,A,Active,2023-06-05,70|60,5.5,79,18,81,High,Low,Yes,8,71,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,65,2025-12-03
STU01078,Student_0079,2022-CS-01079,3,6,2022-2023,24,A,On-Leave,2022-07-09,45|60|66|60,5.4,78,21,72,Medium,Medium,Yes,5,57,Medium,Yes,1,High,Medium,Public,Neutral,5,Yes,College,Moderate,Male,64,2025-12-03
STU01079,Student_0080,2023-CS-01080,2,3,2023-2024,23,B,Active,2023-08-05,52|55,5.0,67,8,61,Medium,Medium,Yes,7,54,Medium,Yes,1,High,Medium,Public,Positive,3,No,College,Near,Male,60,2025-12-03
STU01080,Student_0081,2022-CS-01081,3,5,2022-2023,24,A,Active,2022-06-08,61|56|62|63,5.5,80,19,69,Medium,High,Yes,7,82,High,Yes,1,Low,Medium,Public,Negative,2,No,High School,Near,Male,65,2025-12-03
STU01081,Student_0082,2023-CS-01082,2,3,2023-2024,21,D,Active,2023-07-26,61|67,5.6000000000000005,88,22,71,High,Medium,No,6,79,High,Yes,1,Low,Low,Public,Positive,3,No,High School,Near,Male,66,2025-12-03
STU01082,Student_0083,2020-CS-01083,4,7,2020-2021,24,D,Active,2020-08-08,59|61|69|63|65|65,6.4,57,29,78,High,High,Yes,4,93,Low,Yes,5,Medium,High,Public,Neutral,3,No,College,Near,Male,74,2025-12-03
STU01083,Student_0084,2023-CS-01084,2,3,2023-2024,21,C,Active,2023-06-20,62|59,5.2,84,17,67,Medium,Medium,Yes,5,52,High,Yes,2,Medium,Medium,Private,Negative,3,No,High School,Far,Female,62,2025-12-03
STU01084,Student_0085,2022-CS-01085,3,5,2022-2023,22,B,Active,2022-06-23,55|68|63|63,6.0,96,15,95,Medium,Medium,No,7,93,Medium,Yes,2,Low,Medium,Public,Positive,4,No,College,Moderate,Male,70,2025-12-03
STU01085,Student_0086,2022-CS-01086,3,5,2022-2023,23,D,Active,2022-07-27,60|70|63|69,5.8999999999999995,67,17,88,Medium,High,Yes,7,94,Low,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,69,2025-12-03
STU01086,Student_0087,2021-CS-01087,4,8,2021-2022,25,A,Active,2021-08-02,58|59|65|57|57|59,5.699999999999999,64,25,63,Medium,High,Yes,7,72,Medium,Yes,3,Medium,High,Private,Negative,4,No,College,Far,Male,67,2025-12-03
STU01087,Student_0088,2020-CS-01088,4,8,2020-2021,25,C,Active,2020-06-22,51|49|56|58|65|63,5.4,79,22,86,Low,Low,No,6,54,Medium,Yes,2,Medium,Medium,Public,Neutral,0,No,High School,Moderate,Male,64,2025-12-03
STU01088,Student_0089,2023-CS-01089,2,4,2023-2024,22,C,Active,2023-07-05,64|71,6.1,100,17,86,Medium,High,No,5,97,High,Yes,3,High,Medium,Public,Neutral,3,No,College,Near,Male,71,2025-12-03
STU01089,Student_0090,2021-CS-01090,4,8,2021-2022,23,D,Active,2021-07-08,50|57|61|62|66|62,5.8,79,23,98,Medium,Low,Yes,7,54,Low,Yes,0,Medium,Medium,Public,Negative,3,No,College,Near,Female,68,2025-12-03
STU01090,Student_0091,2023-CS-01091,2,3,2023-2024,21,B,Active,2023-06-23,65|71,5.4,59,21,60,High,Medium,No,7,80,Medium,Yes,0,Medium,High,Public,Neutral,4,Yes,College,Near,Male,64,2025-12-03
STU01091,Student_0092,2023-CS-01092,2,4,2023-2024,23,D,Active,2023-06-25,50|54,5.300000000000001,73,26,70,Medium,Low,Yes,8,75,Medium,Yes,1,Medium,Low,Private,Neutral,4,Yes,High School,Far,Female,63,2025-12-03
STU01092,Student_0093,2021-CS-01093,4,7,2021-2022,22,A,Active,2021-07-06,59|59|72|66|73|58,6.1,77,16,97,Medium,Medium,Yes,6,92,Low,Yes,0,High,Medium,Private,Positive,4,No,College,Near,Male,71,2025-12-03
STU01093,Student_0094,2021-CS-01094,4,8,2021-2022,22,A,Active,2021-06-13,61|55|57|61|57|69,5.8999999999999995,80,18,97,High,Medium,Yes,4,75,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,69,2025-12-03
STU01094,Student_0095,2021-CS-01095,4,8,2021-2022,22,B,On-Leave,2021-07-03,88|91|96|100|94|100,9.0,81,18,89,High,Medium,Yes,4,73,Medium,Yes,3,High,Medium,Private,Positive,2,No,College,Near,Female,100,2025-12-03
STU01095,Student_0096,2021-CS-01096,4,7,2021-2022,23,A,Active,2021-07-16,57|59|61|69|61|58,5.8,86,11,91,Medium,Medium,No,6,94,Medium,Yes,3,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,68,2025-12-03
STU01096,Student_0097,2021-CS-01097,4,8,2021-2022,23,D,Active,2021-07-14,46|55|54|53|52|61,5.2,51,22,64,Low,Medium,No,7,98,Low,No,1,Medium,Medium,Public,Negative,3,No,High School,Near,Male,62,2025-12-03
STU01097,Student_0098,2023-CS-01098,2,4,2023-2024,23,A,Active,2023-08-26,67|67,5.8,68,22,81,Medium,Medium,Yes,7,77,Low,Yes,2,Medium,Medium,Public,Positive,3,No,Postgraduate,Far,Female,68,2025-12-03
STU01098,Student_0099,2021-CS-01099,4,8,2021-2022,22,B,Active,2021-06-01,52|56|58|60|56|64,5.6000000000000005,65,20,69,High,High,Yes,6,73,Medium,Yes,2,Low,Medium,Private,Positive,3,No,High School,Far,Male,66,2025-12-03
STU01099,Student_0100,2020-CS-01100,4,7,2020-2021,25,D,Active,2020-08-03,49|59|56|62|58|60,5.4,84,19,67,Low,Medium,No,5,92,High,Yes,0,Medium,Medium,Public,Positive,3,No,College,Near,Male,64,2025-12-03
STU01100,Student_0101,2022-CS-01101,3,5,2022-2023,24,C,Active,2022-08-09,66|63|59|69,5.699999999999999,100,12,92,Medium,Medium,No,4,92,High,Yes,2,Medium,High,Public,Neutral,3,Yes,High School,Moderate,Male,67,2025-12-03
STU01101,Student_0102,2021-CS-01102,4,7,2021-2022,25,D,Active,2021-06-20,50|56|66|51|60|65,5.5,67,17,65,Medium,High,Yes,8,66,Medium,Yes,1,High,High,Public,Neutral,4,Yes,Postgraduate,Moderate,Female,65,2025-12-03
STU01102,Student_0103,2021-CS-01103,4,7,2021-2022,24,A,Active,2021-06-07,56|48|49|64|57|59,5.5,76,18,79,Medium,Medium,Yes,7,79,Medium,Yes,0,Low,High,Private,Neutral,3,No,College,Far,Male,65,2025-12-03
STU01103,Student_0104,2023-CS-01104,2,3,2023-2024,20,C,On-Leave,2023-07-20,72|67,5.8999999999999995,100,15,98,High,Medium,No,6,58,High,Yes,0,Low,High,Public,Positive,3,No,College,Near,Male,69,2025-12-03
STU01104,Student_0105,2021-CS-01105,4,7,2021-2022,22,A,Active,2021-08-24,51|52|48|60|61|61,5.300000000000001,80,19,67,Medium,Medium,No,5,82,High,Yes,1,Low,Low,Private,Negative,3,No,High School,Near,Male,63,2025-12-03
STU01105,Student_0106,2021-CS-01106,4,7,2021-2022,24,D,Active,2021-07-15,59|60|68|65|67|72,6.2,80,22,99,Medium,Low,Yes,6,92,Low,Yes,3,Medium,Medium,Public,Negative,4,No,Postgraduate,Moderate,Male,72,2025-12-03
STU01106,Student_0107,2021-CS-01107,4,7,2021-2022,24,B,Active,2021-07-06,65|74|59|71|68|69,6.6000000000000005,85,31,100,Medium,Medium,No,7,59,Medium,Yes,2,High,High,Public,Positive,5,No,Postgraduate,Moderate,Male,76,2025-12-03
